,,,,,,,,,,,,,,,,,,
,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
14,CONSTANŢA,102923950,150700510,297280250,386181220,554934780,655999600,758368322,1016757853,1346645077,1489297236,1482471086,1470851651,1618559207,1641169105,1695547082,1927357928,2305630399
15,COVASNA,20645240,26961440,63983970,85176110,118799750,145385060,181603809,258013622,327435843,406456881,411905446,412868347,402268143,431070785,467054551,527913227,715996685
16,DÂMBOVIŢA,39613220,57777720,138747490,184929210,267409340,308736500,371651183,536674393,714098300,816492780,869695726,848828559,959155239,880570802,980282568,1147076245,1253325315
17,DOLJ,56734420,90155950,210731240,255894100,346453390,432672920,526146935,765466847,996052698,1203961990,1237525099,1209615422,1146813128,1231953984,1249048060,1432348836,1702544014
18,GALAŢI,48842930,90958590,168331040,256884550,359219730,373952260,493322097,718266931,852530407,1018972510,1016307228,969838447,984296871,1032789159,1075465013,1139672133,1252448460
19,GIURGIU,16260920,27871060,60364450,83664880,115986400,151931820,180729966,306303389,396821410,537160326,413446514,444955004,498114316,517313760,467694945,581933022,736601094
20,GORJ,32597770,49208410,117368220,157432210,215817240,257328860,307157953,456010908,569854844,729174740,727023086,711337086,693676503,697679413,733535926,883976501,937188659
21,HARGHITA,29171110,41087420,99714670,130360660,179297720,222930700,295776492,399487669,540090966,632898400,633717087,638883942,657424263,638376656,723494222,844302631,992831501
22,HUNEDOARA,49116400,71373680,153372380,194986710,278033230,351472290,432126508,626419932,769154452,920570774,947238606,948726849,1022975294,1018307704,1105935140,1182021831,1493404299
23,IALOMIŢA,19594630,30520010,68154800,93646890,123873730,163058810,194160412,296390636,379264559,490130741,461589157,463912700,442434723,411926537,451644438,532218899,687590791
24,IAŞI,81473260,108716900,238102600,312322300,439377130,537798850,630740929,928873689,1222839457,1392860483,1425649311,1422842360,1494798702,1436612972,1608242501,1910865114,2187760033
25,ILFOV,30360990,50334910,107245970,152594210,199390200,292991920,333438007,478266789,767869310,918799964,921777316,1030932470,1043989149,1167320703,1177609874,1365090473,1533580376
26,MARAMUREŞ,40071980,61528290,159139520,190280150,259328650,303946560,392268885,590881923,743005814,843287316,849883627,870284496,831081458,907181563,998393425,1144033419,1409132128
27,MEHEDINŢI,21440020,38852930,85685100,106056280,154266190,201596350,226651142,322514789,440251727,524559370,530557394,605070448,625432623,629611945,700544925,711435535,849465747
28,MUREŞ,49893290,69978770,165289430,226284790,313351200,396786400,463683198,678732375,906191748,1204120922,1078858133,1070395201,1119818057,1147141288,1302777420,1352465627,1437308710
29,NEAMŢ,37513330,58267860,150341930,194175510,274940290,322421410,414396876,568068700,742438203,877689365,858549059,921947294,986919342,912997110,1009990888,1090320850,1204922015
30,OLT,33059170,54221420,126093210,167532640,210679510,266244980,327450476,461963458,670926794,797618716,752857932,760432065,741301755,812802563,873810386,1073419329,1148916373
31,PRAHOVA,74398040,119807920,247854320,321004500,467161800,527153190,646062866,912992233,1250164138,1455984415,1540467583,1535905656,1489500525,1509840411,1549149218,1807914066,2122914239
32,SATU MARE,32250910,42417890,99988850,134607300,189613820,230778780,284922561,426683909,548059299,677249483,631967303,653658487,692016945,704529851,816471414,902992792,1016360803
33,SĂLAJ,18787770,28573430,72473790,95310490,129756880,166380780,203313209,312128414,408231122,522825728,469337715,479824425,514076049,556761039,617954571,664182686,848644062
34,SIBIU,38112640,58702040,137992020,182481220,274170500,347060310,412887690,648209538,790859088,911728428,952248592,932764909,1003672254,967999136,1048877423,1187399693,1308765635
35,SUCEAVA,42394840,71229410,182010960,262609010,376991100,462039960,545666558,768620730,985865071,1177389566,1209851067,1282021324,1338941852,1413823355,1389746484,1506639489,1737403345
36,TELEORMAN,27741440,50781630,108427640,144593890,202555080,253715070,298709067,429122804,546307680,687741484,583438399,620268756,556174529,591773067,626017104,807449123,871226251
37,TIMIŞ,77594200,107301430,237308010,312321700,464927000,606181860,728222984,974270235,1308666483,1536960848,1505506403,1482626661,1633955753,1783767911,1853280258,2003788646,2234984333
38,TULCEA,25168680,35881850,83343550,107336930,146708710,177521340,212299098,351587353,420416307,454063164,533571112,587780921,531762274,487405007,527042680,683285924,822290193
39,VASLUI,31355050,46857070,107658750,149829860,213065270,260743060,327347501,500232799,632538641,806408374,740881188,748231772,794648148,706561141,809891105,894811805,1045234170
40,VÂLCEA,32230090,53874290,118663260,158646020,229923190,267850260,328205578,484265317,697653758,817584627,731827426,790619615,873518938,847116080,849111819,1237099284,1455091401
41,VRANCEA,35720420,47272010,116407010,141968390,207130790,254357790,353481084,425777013,601141247,749209215,654338462,705950235,642052380,638939017,740501970,788967355,957314762
42,BUCUREŞTI,499384320,717303050,1238562200,1589266300,2178030620,2659483910,3155126192,4238734346,6193706239,7170783579,7536346360,7391470134,7288589322,6965347131,7162060952,7725463327,8068359583
